,Area Name,Total/ Rural/Urban,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
41,JAMMU & KASHMIR,Urban,15-59,9.453666109341661e-05,1529,0.39684418145956607,849,0.3029585798816568,0.03195266272189349,1411,0.22840236686390533,0.3282051282051282
42,JAMMU & KASHMIR,Urban,60+,1.4022005747978164e-05,215,0.42819148936170215,77,0.18882978723404256,0.015957446808510637,275,0.34308510638297873,0.3882978723404255
43,JAMMU & KASHMIR,Urban,Age not stated,1.4917027391466132e-07,3,0.25,1,0.25,0.0,2,0.25,0.25
44,JAMMU & KASHMIR,Urban,0-14,3.956741515586392e-05,620,0.41564561734213007,8,0.006597549481621112,0.000942507068803016,1037,0.5702167766258247,0.4071630537229029
45,JAMMU & KASHMIR,Urban,15-59,0.0002380757571677995,3988,0.37531328320802004,1943,0.27145989974937346,0.03289473684210526,3718,0.27615914786967416,0.30623433583959897
46,JAMMU & KASHMIR,Urban,60+,0.00010855866684139478,1556,0.46547578151837854,279,0.0872552387495706,0.008588114050154586,2465,0.4081071796633459,0.43868086568189624
47,JAMMU & KASHMIR,Urban,Age not stated,3.35633116307988e-07,3,0.6666666666666666,4,0.3333333333333333,0.1111111111111111,5,0.0,0.5555555555555556
48,JAMMU & KASHMIR,Urban,0-14,3.319038594601215e-05,509,0.4280898876404494,8,0.006741573033707865,0.0022471910112359553,865,0.5561797752808989,0.4157303370786517
49,JAMMU & KASHMIR,Urban,15-59,0.00011937351170020773,1931,0.39675101530771634,609,0.16869728209934395,0.02155576382380506,2371,0.3930021868166198,0.3477038425492034
50,JAMMU & KASHMIR,Urban,60+,1.5476415918646114e-05,235,0.43373493975903615,68,0.14457831325301204,0.01927710843373494,323,0.38072289156626504,0.39759036144578314
51,JAMMU & KASHMIR,Urban,Age not stated,1.4917027391466132e-07,2,0.5,0,0.0,0.0,2,0.25,0.25
52,JAMMU & KASHMIR,Urban,0-14,1.756479975345137e-05,279,0.40764331210191085,3,0.006369426751592357,0.0,459,0.5732484076433121,0.4012738853503185
53,JAMMU & KASHMIR,Urban,15-59,0.0001145627703664599,1800,0.4140625,559,0.1630859375,0.018880208333333332,2080,0.3541666666666667,0.3229166666666667
54,JAMMU & KASHMIR,Urban,60+,2.013798697847928e-05,280,0.48148148148148145,45,0.07222222222222222,0.011111111111111112,464,0.40185185185185185,0.45740740740740743
55,JAMMU & KASHMIR,Urban,Age not stated,1.8646284239332666e-07,4,0.2,0,0.0,0.0,3,0.4,0.2
56,JAMMU & KASHMIR,Urban,0-14,0.00011791910152953977,1738,0.450347881087919,41,0.009171410499683744,0.003795066413662239,2972,0.5161290322580645,0.42378241619228335
57,JAMMU & KASHMIR,Urban,15-59,0.00043087833620249926,6556,0.43257746235070105,4297,0.3279383763198892,0.043967457157694304,5601,0.16046390860308118,0.3243032715942531
58,JAMMU & KASHMIR,Urban,60+,0.00010490399513048558,1468,0.47813722004976894,442,0.14361891219338785,0.0135087095627444,2128,0.3266974760042659,0.42979025950942057
59,JAMMU & KASHMIR,Urban,Age not stated,1.0814844858812947e-06,21,0.27586206896551724,9,0.27586206896551724,0.034482758620689655,18,0.41379310344827586,0.20689655172413793
60,JAMMU & KASHMIR,Urban,0-14,4.75480248102983e-05,752,0.41019607843137257,9,0.005490196078431373,0.001568627450980392,1249,0.5741176470588235,0.4054901960784314
